City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
65,mungwi,-10.1732,31.3694,18.28000000000003,87,100,0.87,ZM,1701228532
66,namibe,-15.1961,12.1522,23.129999999999995,81,91,0.6,AO,1701228532
67,ribeira grande,38.5167,-28.7,17.650000000000034,92,100,1.79,PT,1701228532
68,tiksi,71.6872,128.8694,-16.75,88,100,7.28,RU,1701228532
69,tazacorte,28.629,-17.9293,18.54000000000002,68,0,3.09,ES,1701228533
70,atafu village,-8.5421,-172.5159,28.03000000000003,72,100,2.81,TK,1701228533
71,kuacjok,8.3002,27.9903,28.170000000000016,27,100,2.41,SS,1701228533
72,umba,66.6871,34.3429,-4.949999999999989,81,79,9.26,RU,1701228533
73,port lincoln,-34.7333,135.8667,18.120000000000005,73,94,6.45,AU,1701228275
74,wailua homesteads,22.0669,-159.378,23.439999999999998,86,40,2.68,US,1701228026
75,thompson,55.7435,-97.8558,-12.909999999999968,85,100,1.54,CA,1701228534
76,rio grande,-32.035,-52.0986,21.08000000000004,84,9,8.64,BR,1701228534
77,georgetown,5.4112,100.3354,30.960000000000036,66,20,5.66,MY,1701228153
78,camana,-16.6228,-72.7111,19.610000000000014,84,96,2.99,PE,1701228294
79,margaret river,-33.95,115.0667,21.590000000000032,63,10,5.72,AU,1701228534
80,chonchi,-42.6128,-73.8092,10.560000000000002,93,100,3.14,CL,1701228299
81,khlevnoye,52.1951,39.0932,-2.9899999999999523,90,75,4.24,RU,1701228535
82,gapan,15.2833,120.9833,30.75,67,98,2.59,PH,1701228535
83,lang son,21.8333,106.7333,24.310000000000002,58,7,1.82,VN,1701228535
84,guerrero negro,27.9769,-114.0611,18.689999999999998,67,99,4.26,MX,1701228249
85,catalca,41.1432,28.4615,16.510000000000048,83,99,13.42,TR,1701228535
86,thal,35.4791,72.2439,5.550000000000011,62,100,2.3,PK,1701228536
87,holualoa,19.6228,-155.9522,24.910000000000025,81,40,3.6,US,1701228100
88,murghob,38.1702,73.9667,-7.259999999999991,63,100,1.46,TJ,1701228536
89,yarmouth,41.7057,-70.2286,1.0900000000000318,54,0,14.75,US,1701228437
90,mabaruma,8.2,-59.7833,23.090000000000032,93,0,1.26,GY,1701228261
91,villa zaragoza,22.0333,-100.7333,12.04000000000002,91,100,2.54,MX,1701228536
92,avarua,-21.2078,-159.775,25.03000000000003,78,75,7.72,CK,1701228537
